138,7
totalCommits,totalTestsRan,totalTestsPassed,totalDiagnosticErrors,differentSlugs,differentCourses,commitsStyleOK,averageGrade
132,2776,2032,28,6,2,126,75.89166666666667
110,3071,2377,684,15,1,23,100.0
45,1167,999,532,12,1,9,89.64416666666666
165,5050,4445,1486,19,1,59,88.67
393,9636,6812,3615,18,1,90,86.52666666666667
29,324,142,288,4,1,3,84.1675
71,2420,2001,417,11,1,11,100.0
119,4174,3690,1173,19,1,51,100.0
7,40,20,291,3,1,1,18.333333333333332
368,16052,12537,3013,17,1,84,90.82352941176471
186,4985,3774,2490,16,1,27,72.491875
10,380,321,66,1,1,1,92.11
129,3782,3165,1594,17,1,70,94.11764705882354
203,6109,4266,6548,17,1,26,80.45235294117647
32,1523,1352,218,5,2,8,100.0
191,6049,4905,1543,17,1,71,93.38235294117646
223,6102,5171,4172,19,1,38,92.63157894736842
161,5216,4168,1004,21,1,58,89.09666666666666
39,465,358,450,9,1,9,84.47888888888889
134,4418,3250,2065,17,1,17,77.57588235294118
220,6521,5214,3085,20,1,34,91.949
173,5286,3401,1582,17,1,66,89.6970588235294
159,4771,3349,2506,18,1,15,84.78333333333333
361,10506,7032,6102,17,1,33,86.63117647058823
89,3183,2512,970,13,1,26,92.3076923076923
268,7790,5833,2466,19,1,88,88.32947368421053
379,12628,8753,4010,17,1,42,90.90941176470588
340,8656,6518,6082,17,1,33,87.99
112,3452,2906,1121,18,1,31,93.75
80,1824,1405,1984,17,1,18,88.65882352941176
91,2606,1757,871,8,2,37,97.28222222222222
352,10180,6768,3825,18,1,75,90.73277777777778
182,5251,4181,3672,20,1,30,89.561
66,1792,1660,567,14,1,22,91.14285714285714
80,2192,1895,1679,20,1,37,92.27250000000001
149,4189,3297,2037,15,1,18,92.602
214,6168,5047,1616,19,1,23,94.71684210526315
80,2031,1324,356,11,1,42,90.00181818181818
237,6225,4947,5081,18,1,17,92.59277777777778
44,1427,1364,303,11,1,19,100.0
271,8279,6702,1744,18,1,77,89.30444444444444
267,7353,5421,2736,17,1,44,90.70235294117647
276,7292,5019,2913,18,1,42,94.44444444444444
234,6928,5273,1793,17,1,58,76.81529411764706
244,6111,4164,2017,19,1,41,72.75421052631579
356,8666,5520,3009,18,1,68,83.72722222222222
144,4598,3628,2170,18,1,22,86.0461111111111
102,3768,3112,1225,9,2,18,98.849
157,4043,2984,1172,19,1,46,87.84473684210526
207,5876,4186,2273,18,1,32,80.73
271,8331,5460,2997,14,1,39,75.56928571428571
133,3656,2928,1674,17,1,37,90.58823529411765
105,2961,1697,264,4,2,68,67.462
310,8249,6439,3810,18,1,32,92.24888888888889
206,4595,3212,2600,17,1,22,73.87411764705882
162,4901,3794,909,15,1,75,96.20933333333333
199,5843,4734,1660,18,1,54,84.85722222222222
3,27,24,10,1,1,1,100.0
272,6709,5329,4633,18,1,27,91.94944444444444
267,7005,4993,1284,22,1,97,89.42590909090909
8,58,29,136,3,1,1,27.036666666666665
114,3611,2678,1538,18,1,34,88.88888888888889
161,4567,3503,3604,20,1,29,74.5065
188,4685,3700,2466,17,1,82,87.29411764705883
18,484,419,336,5,1,5,87.756
114,2626,2192,854,18,1,35,93.51833333333333
301,9574,7666,2145,23,1,79,85.79695652173913
76,1392,870,651,11,1,14,64.02
242,7505,4561,2583,18,1,35,88.46944444444445
83,2474,2068,1723,12,1,13,85.74833333333333
78,2159,1935,258,19,1,44,94.73684210526316
154,4789,3567,1252,17,1,67,90.57941176470588
125,3914,3387,2836,15,1,4,65.30266666666667
18,414,343,482,6,1,3,93.91000000000001
151,4741,3760,2651,20,1,29,95.0
264,7991,5967,4560,18,1,21,88.59666666666666
83,2539,2355,1478,17,1,16,94.11764705882354
57,1484,1330,432,16,1,19,92.935
55,1979,1371,1269,8,1,0,93.88
206,5319,3796,1479,16,1,70,80.22125
12,205,30,586,2,1,0,30.0
51,1202,556,680,6,1,3,63.596666666666664
146,3464,2969,2893,18,1,38,88.88888888888889
229,5341,3749,3101,16,1,33,84.47
29,428,247,625,4,1,3,67.34
72,2116,1858,488,14,1,19,84.05071428571429
352,9188,5944,1796,16,1,127,89.938125
82,2144,1877,728,17,1,19,96.18470588235293
239,7527,5589,3316,21,1,50,86.77238095238096
128,3737,2996,1095,16,1,47,55.10125
103,3659,2524,3141,9,1,16,36.22222222222222
45,911,617,210,6,1,13,87.65666666666668
121,4233,3125,1573,17,1,20,78.73823529411764
47,1630,1225,423,9,1,12,72.36666666666666
138,4337,3398,1733,16,1,19,93.155625
75,1762,1049,1177,14,1,9,63.77428571428572
226,6489,4729,4387,18,1,26,85.185
1,9,1,8,1,1,0,11.11
143,2891,1225,746,18,1,49,57.665
132,3420,2795,1088,17,1,35,93.2570588235294
134,4364,3730,1137,16,1,39,96.878125
138,4281,3461,1390,18,1,27,90.29944444444445
74,1975,1600,532,13,1,32,89.16692307692308
116,3694,2574,920,15,1,59,84.50933333333334
280,6924,5363,1041,16,2,101,100.0
71,1147,946,604,9,1,34,96.82555555555557
37,1941,1572,506,8,1,7,39.615
20,731,394,94,2,1,8,47.66
75,2941,2215,610,15,1,19,77.286
9,157,123,724,2,1,1,100.0
174,5092,3625,700,16,1,98,86.238125
97,2917,2528,731,19,1,49,98.08631578947369
12,231,206,199,4,1,2,94.5325
46,1277,872,1093,12,1,9,61.38583333333333
57,996,793,1325,16,1,8,85.204375
64,1886,1444,329,2,1,14,96.055
26,571,404,1365,9,1,2,52.77111111111111
6,0,0,95,2,1,0,0.0
58,1576,1426,287,16,1,32,93.75
2,58,6,26,1,1,0,17.24
22,632,564,159,3,1,0,100.0
64,1902,1520,383,9,1,28,95.46
62,2227,1933,1181,5,1,13,96.666
153,4471,3015,3898,16,1,21,93.75
3,87,6,17,1,1,0,13.79
129,4199,3218,939,20,1,47,87.4635
16,391,246,604,3,1,4,71.11
33,1496,1380,779,7,1,11,100.0
18,270,168,177,7,1,0,60.85142857142858
1,15,15,38,1,1,0,100.0
4,9,0,32,2,1,2,0.0
10,47,40,46,3,1,5,66.66666666666667
151,6347,5060,2241,14,1,31,95.19714285714285
6,306,273,64,2,1,2,100.0
10,186,150,109,10,1,5,82.0
3,3,0,2,1,1,1,0.0
10,41,33,1438,2,1,0,40.245
2,66,2,0,1,1,2,6.06
