153,11
totalDiagnosticErrors_per_differentSlugs,totalTestsPassed_per_totalTestsRan,commitsStyleOK_per_totalCommits,differentSlugs_per_differentCourses,totalCommits,totalTestsRan,totalTestsPassed,totalDiagnosticErrors,differentSlugs,differentCourses,commitsStyleOK,averageGrade
4.666666666666667,0.7319884726224783,0.9545454545454546,3.0,132,2776,2032,28,6,2,126,75.89166666666667
45.6,0.774014978834256,0.20909090909090908,15.0,110,3071,2377,684,15,1,23,100.0
45.07692307692308,0.847233691164327,0.1836734693877551,13.0,49,1211,1026,586,13,1,9,87.64384615384614
86.04,0.8717902675525229,0.3285024154589372,25.0,207,5569,4855,2151,25,1,68,79.3892
188.17391304347825,0.6997038682213585,0.2076271186440678,23.0,472,10806,7561,4328,23,1,98,80.38173913043478
72.0,0.4382716049382716,0.10344827586206896,4.0,29,324,142,288,4,1,3,84.1675
37.90909090909091,0.8268595041322314,0.15492957746478872,11.0,71,2420,2001,417,11,1,11,100.0
58.75,0.870002093364036,0.4774193548387097,24.0,155,4777,4156,1410,24,1,74,91.66666666666667
97.0,0.5,0.14285714285714285,3.0,7,40,20,291,3,1,1,18.333333333333332
157.86363636363637,0.7801736870089206,0.23006833712984054,22.0,439,16927,13206,3473,22,1,101,83.81818181818181
146.52941176470588,0.7554043234587671,0.1443850267379679,17.0,187,4996,3774,2491,17,1,27,68.22764705882352
66.0,0.8447368421052631,0.1,1.0,10,380,321,66,1,1,1,92.11
80.47826086956522,0.8385339276869738,0.512987012987013,23.0,154,4038,3386,1851,23,1,79,82.6086956521739
306.9130434782609,0.6982693754702785,0.1469387755102041,23.0,245,6645,4640,7059,23,1,36,71.52869565217392
43.6,0.8877216021011162,0.25,2.5,32,1523,1352,218,5,2,8,100.0
73.31818181818181,0.8107362958157639,0.3694581280788177,22.0,203,6166,4999,1613,22,1,75,80.45954545454545
187.875,0.8261694915254237,0.17465753424657535,24.0,292,7375,6093,4509,24,1,51,85.83333333333333
69.0,0.7922864060878588,0.308411214953271,25.0,214,5782,4581,1725,25,1,66,86.1456
47.72727272727273,0.7753479125248509,0.26666666666666666,11.0,45,503,390,525,11,1,12,85.64818181818181
102.85714285714286,0.739023892178885,0.2147239263803681,21.0,163,4897,3619,2160,21,1,35,71.4952380952381
